category,topic,terms,nm_producao,nm_orientador,gamma
Metaphysics,69,"kant, razao, transcendental, kantiana, razaopura",a ilusao transcendental na critica da razao pura ponderacoes judicativas e hermeneuticas sobre a dinamica ilusoria da razao em seu uso puro e sua importancia para o sistema criticotranscendental,joel thiago klein,2.11
Metaphysics,65,"platao, socrates, republica, dialogos, platonica",acerca dos sonhos na filosofia platonica,luisa severo buarque de holanda,2
Metaphysics,65,"platao, socrates, republica, dialogos, platonica",construcao e critica da teoria das ideias na filosofia de platao dos dialogos intermediarios a primeira parte do parmenides,eduardo luft,2
Metaphysics,65,"platao, socrates, republica, dialogos, platonica",a republica de platao relacao entre os livros i ii iii iv e viii,rachel gazolla de andrade,2
Metaphysics,65,"platao, socrates, republica, dialogos, platonica",o terceiro ator sobre a construcao dramatica da personagem de socrates no dialogo fedro de platao,irley fernandes franco,2
Metaphysics,65,"platao, socrates, republica, dialogos, platonica",a exegese mitica em platao estudo critico sobre a passagem da allegorese a transposicao dos mitos e misterios,hugo filgueiras de araujo,2
Metaphysics,65,"platao, socrates, republica, dialogos, platonica",a caverna de platao uma imagem da educacao,luis felipe bellintani ribeiro,2
Metaphysics,65,"platao, socrates, republica, dialogos, platonica",eros e iniciacao um estudo sobre as relacoes a paideia platonica e os antigos culto gregos de misterio a partir do banquete,delmar araujo cardoso,2
Metaphysics,65,"platao, socrates, republica, dialogos, platonica",mentira util e opiniao o intermedio entre conhecimento e ignorancia na republica de platao,alice bitencourt haddad,2
Metaphysics,65,"platao, socrates, republica, dialogos, platonica",a dialetica de platao uma analise epistemologica dos livros vi e vii da politeia a linha dividida e a alegoria da caverna,jayme paviani,2
Metaphysics,65,"platao, socrates, republica, dialogos, platonica",o platao de rosa a obra de guimaraes rosa em dialogo com a metafisica platonica,rogerio da silva lima,2
Metaphysics,53,"hegel, espirito, fenomenologia, absoluto, consciencia",a intersubjetividade nas meditacoes cartesianas de husserl,eduardo soares neves silva,1.96
Metaphysics,53,"hegel, espirito, fenomenologia, absoluto, consciencia",husserl e os limites da reducaofenomenologica nas ideias i,marcelo fabri,1.96
Metaphysics,53,"hegel, espirito, fenomenologia, absoluto, consciencia",o conceito de aufhebung em hegel uma investigacao sobre a doutrina do ser na ciencia da logica e na enciclopedia,arthur eduardo grupillo chagas,1.96
Metaphysics,53,"hegel, espirito, fenomenologia, absoluto, consciencia",razoabilidade em charles s peirce uma proposta pragmaticista para o crescimento da razao,ivo assad ibri,1.96
Metaphysics,53,"hegel, espirito, fenomenologia, absoluto, consciencia",a nocao de intersubjetividade nas meditacoes cartesianas de edmund husserl,roberto saraiva kahlmeyer mertens,1.96
Metaphysics,53,"hegel, espirito, fenomenologia, absoluto, consciencia",o que entende voce por pragmatismo alguns confrontos entre os pragmatismos de c s peirce e w james,ivo assad ibri,1.96
Metaphysics,53,"hegel, espirito, fenomenologia, absoluto, consciencia",reducao fenomenologica idealismo transcendental e intersubjetividade o problema da quinta meditacao cartesiana de husserl,roberto wu,1.96
Metaphysics,53,"hegel, espirito, fenomenologia, absoluto, consciencia",o idealismo transcendental como fenomenologia em husserl,roberto wu,1.96
Metaphysics,53,"hegel, espirito, fenomenologia, absoluto, consciencia",para uma critica interna ao sistema de hegel,carlos roberto velho cirn lima,1.96
Metaphysics,53,"hegel, espirito, fenomenologia, absoluto, consciencia",a subjetividade e suas relacoes com o absoluto no contexto da fenomenologia do espirito de hegel,paulo cesar duque estrada,1.96
Metaphysics,55,"hume, descartes, ceticismo, cartesiana, naturezahumana",percepcao crenca e mundo externo em hume,miguel spinelli,1.85
Metaphysics,55,"hume, descartes, ceticismo, cartesiana, naturezahumana",o problema dos milagres em hume,livia mara guimaraes,1.85
Metaphysics,55,"hume, descartes, ceticismo, cartesiana, naturezahumana",naturalizacao das relacoes de causa e efeitos na filosofia de david hume,maria isabel de magalhaes papaterra limongi,1.85
Metaphysics,55,"hume, descartes, ceticismo, cartesiana, naturezahumana",bayesianismo e o problema da inducao uma avaliacao critica da abordagem de colin howson,marcos antonio alves,1.85
Metaphysics,55,"hume, descartes, ceticismo, cartesiana, naturezahumana",o tema da identidade pessoal no livro do tratado de hume,jose oscar de almeida marques,1.85
Metaphysics,55,"hume, descartes, ceticismo, cartesiana, naturezahumana",regras gerais e racionalidade em hume,joao paulo gomes monteiro,1.85
Metaphysics,55,"hume, descartes, ceticismo, cartesiana, naturezahumana",da inferencia causal e principios formadores da crenca segundo pressupostos humeanos,adriano naves de brito,1.85
Metaphysics,55,"hume, descartes, ceticismo, cartesiana, naturezahumana",um exame da leitura realista das nocoes humeanas de existencia externa e causalidade,andrea luisa bucchile faggion,1.85
Metaphysics,55,"hume, descartes, ceticismo, cartesiana, naturezahumana",ceticismo e naturalismo na filosofia teorica de hume,marco antonio franciotti,1.85
Metaphysics,55,"hume, descartes, ceticismo, cartesiana, naturezahumana",sobre a identidade pessoal david hume e seus criticos,livia mara guimaraes,1.85
Metaphysics,15,"deus, mal, agostinho, kierkegaard, fe",o conceito de participacao em joao escoto eriugena,oscar federico bauchwitz,1.76
Metaphysics,15,"deus, mal, agostinho, kierkegaard, fe",pascal e as modalidades da razao uma interpretacao da concepcao de deus e jesus cristo nos pensamentos,emmanuel carneiro leao,1.76
Metaphysics,15,"deus, mal, agostinho, kierkegaard, fe",inquietum cor a inquetude do ser humano visao eticoantropologica de agostinho de hipona segundo as confissoes,francisco manfredo tomas ramos,1.76
Metaphysics,15,"deus, mal, agostinho, kierkegaard, fe",o mal no universo segundo santo tomas de aquino,fernando pio de almeida fleck,1.76
Metaphysics,15,"deus, mal, agostinho, kierkegaard, fe",erasmo e lutero distintas concepcoes de livrearbitrio,antonio jose romera valverde,1.76
Metaphysics,15,"deus, mal, agostinho, kierkegaard, fe",o escandalo da razao diante do paradoxo da fe em soren kierkegaard,atila amaral brilhante,1.76
Metaphysics,15,"deus, mal, agostinho, kierkegaard, fe",o desenvolvimento da teoria da vontade no pensamento de santo agostinho em de diversis quaestionibus ad simplicianum,joel gracioso,1.76
Metaphysics,15,"deus, mal, agostinho, kierkegaard, fe",relevancia filosofica das pequenas coisas a infancia no livro i das confissoes de agostinho de hipona,moacyr ayres novaes filho,1.76
Metaphysics,15,"deus, mal, agostinho, kierkegaard, fe",deus e criacao a critica do livro da sabedoria a divinizacao dos astros no estoismo,marcelo perine,1.76
Metaphysics,15,"deus, mal, agostinho, kierkegaard, fe",teismo aberto uma proposta de resolucao para o problema da presciencia divina versus o livrearbitrio humano,sergio ricardo neves de miranda,1.76
Metaphysics,23,"essencia, substancia, espinosa, natureza, spinoza",perseveracao conservacao e destruicao o estatuto da essencia modal na etica de espinosa,raul ferreira landim filho,1.35
Metaphysics,23,"essencia, substancia, espinosa, natureza, spinoza",genero humano individuo e natureza em ludwig feuerbach,eduardo ferreira chagas,1.35
Metaphysics,23,"essencia, substancia, espinosa, natureza, spinoza",infinito imanencia e transcendencia na filosofia judaica medieval hasdai crescas,marilena de souza chaui,1.35
Metaphysics,23,"essencia, substancia, espinosa, natureza, spinoza",multiplicidade de atributos e monismo em espinosa,tadeu mazzola verza,1.35
Metaphysics,23,"essencia, substancia, espinosa, natureza, spinoza",da natureza ao homem feuerbach e a questao da sensibilidade,draiton gonzaga de souza,1.35
Metaphysics,23,"essencia, substancia, espinosa, natureza, spinoza",multiplicidade de atributos e monismo em espinosa,daniel tourinho peres,1.35
Metaphysics,23,"essencia, substancia, espinosa, natureza, spinoza",o deus de espinosa substancia una ou multipla um estudo sobre a possibilidade do monismo,marcos andre gleizer,1.35
Metaphysics,23,"essencia, substancia, espinosa, natureza, spinoza",questao da tecnica a determinacao de sua essencia em oswald spengler e martin heidegger,elena moraes garcia,1.35
Metaphysics,23,"essencia, substancia, espinosa, natureza, spinoza",a antropologia de feuerbach como critica a religiao conceituacao do homem e natureza,eduardo ferreira chagas,1.35
Metaphysics,23,"essencia, substancia, espinosa, natureza, spinoza",caracterizacao modal da nocao de essencia,guido imaguire,1.35
Metaphysics,76,"vontade, amor, schopenhauer, mundo, metafisica",redencao e ascetismo no mito cristao segundo arthur schopenhauer,luciano carlos utteich,1.29
Metaphysics,76,"vontade, amor, schopenhauer, mundo, metafisica",o livro viii das confissoes de agostinho de hipona a partir das nocoes de caritas e cupiditas,moacyr ayres novaes filho,1.29
Metaphysics,76,"vontade, amor, schopenhauer, mundo, metafisica",os conceitos de representacao em schopenhauer,bartolomeu leite da silva,1.29
Metaphysics,76,"vontade, amor, schopenhauer, mundo, metafisica",eudemonologia a possibilidade de se viver menos infeliz no mundo segundo arthur schopenhauer,bartolomeu leite da silva,1.29
Metaphysics,76,"vontade, amor, schopenhauer, mundo, metafisica",o agir humano em confissoes e obras anteriores de agostinho de hipona um estudo das relacoes entre libido consuetudo e voluntas,luis alberto de boni,1.29
Metaphysics,76,"vontade, amor, schopenhauer, mundo, metafisica",o absurdo na existencia uma analise da condicao humana na filosofia de schopenhauer,dax fonseca moraes paes nascimento,1.29
Metaphysics,76,"vontade, amor, schopenhauer, mundo, metafisica",o conceito de grandeza negativa na filosofia moral de schopenhauer,oswaldo giacoia junior,1.29
Metaphysics,76,"vontade, amor, schopenhauer, mundo, metafisica",metafisica pratica em schopenhauer,claudia pellegrini drucker,1.29
Metaphysics,76,"vontade, amor, schopenhauer, mundo, metafisica",os conceitos de vontade e representacao no entendimento do mundo segundo arthur schopenhauer,deyve redyson melo dos santos,1.29
Metaphysics,76,"vontade, amor, schopenhauer, mundo, metafisica",intuicao empirica e intuicao estetica na filosofia de schopenhauer,antonio edmilson paschoal,1.29
Metaphysics,57,"aristoteles, aristotelica, percepcao, sentidos, causa",a desapercebida diferenca entre elemento e causa material na metafisica de aristoteles,rodrigo pinto de brito,1.25
Metaphysics,57,"aristoteles, aristotelica, percepcao, sentidos, causa",a constituicao organica em aristoteles a substancia natural no mais elevado grau,mauricio de carvalho ramos,1.25
Metaphysics,57,"aristoteles, aristotelica, percepcao, sentidos, causa",a percepcao dos sons vocalicos em aristoteles,jacyntho jose lins brandao,1.25
Metaphysics,57,"aristoteles, aristotelica, percepcao, sentidos, causa",o conceito aristotelico de phantasia deliberativa no livro iii do de anima,miriam campolina diniz peixoto,1.25
Metaphysics,57,"aristoteles, aristotelica, percepcao, sentidos, causa",a nocao de causalidade final na filosofia da natureza de aristoteles,lucas angioni,1.25
Metaphysics,57,"aristoteles, aristotelica, percepcao, sentidos, causa",a teoria da sensacao no de anima de aristoteles a apreensao dos sensiveis proprios e comuns,marisa da silva lopes,1.25
Metaphysics,57,"aristoteles, aristotelica, percepcao, sentidos, causa",percepcao e representacao em leibniz a imaterialidade da materia,regina andre rebollo,1.25
Metaphysics,57,"aristoteles, aristotelica, percepcao, sentidos, causa",a nocao de um e a aporia na metafisica de aristoteles,lucas angioni,1.25
Metaphysics,57,"aristoteles, aristotelica, percepcao, sentidos, causa",o principio de substancialidade um estudo sobre o livro z da metafisica de aristoteles,marco antonio de avila zingano,1.25
Metaphysics,57,"aristoteles, aristotelica, percepcao, sentidos, causa",conhecimento dialetica identidade e analogia na biologia de aristoteles,anna carolina krebs pereira regner,1.25
Metaphysics,73,"alma, morte, mundo, plotino, uno",o nascimento de deus na alma a mistica fundamental de mestre eckhart no sermao,jorge augusto da silva santos,1.17
Metaphysics,73,"alma, morte, mundo, plotino, uno",imagens em espelhos o estatuto do multiplo sensivel em plotino,fernando eduardo de barros rey puente,1.17
Metaphysics,73,"alma, morte, mundo, plotino, uno",a resolutio como itinerario metafisico de santo tomas de aquino a elevacao da dynamis aristotelica em potentia essendi nas quaestiones disputatae de potentia dei,carlos alberto gomes dos santos,1.17
Metaphysics,73,"alma, morte, mundo, plotino, uno",o um no apocrifo de joao e na eneada vi  relacoes de plotino com os gnosticos o um no apocrifo de joao e na eneada vi  relacoes de plotino com os gnosticos,gabriele cornelli,1.17
Metaphysics,73,"alma, morte, mundo, plotino, uno",unidade e multiplicidade em mestre eckhart um estudo a partir dos sermoes alemaes,gilvan luiz fogel,1.17
Metaphysics,73,"alma, morte, mundo, plotino, uno",a visao da liberdade e o olhar relacional em mestre eckhart uma fenomenologia da criacao segundo o pensar em mestre eckhart,gilvan luiz fogel,1.17
Metaphysics,73,"alma, morte, mundo, plotino, uno",a logica da contradicao vidamorte em heraclito de efeso,luisa severo buarque de holanda,1.17
Metaphysics,73,"alma, morte, mundo, plotino, uno",aspectos escatologicos no pensamento de origenes de alexandria,rubens garcia nunes sobrinho,1.17
Metaphysics,73,"alma, morte, mundo, plotino, uno",a via mistica de hugo de sao vitor na tradicao filosofica como exercicio espiritual,humberto schubert coelho,1.17
Metaphysics,73,"alma, morte, mundo, plotino, uno",os sentidos internos em ibn sina a vicena,carlos arthur ribeiro do nascimento,1.17
Metaphysics,14,"dialogo, retorica, gorgias, platao, socrates",a mentira no hipias menor de platao na iliada de homero e no filoctetes de sofocles,luisa severo buarque de holanda,1.09
Metaphysics,14,"dialogo, retorica, gorgias, platao, socrates",a ambiguidade do discurso retorico caminhos e descaminhos da persuasao peitho como instrumento para a filosofia no gorgias de platao,markus figueira da silva,1.09
Metaphysics,14,"dialogo, retorica, gorgias, platao, socrates",o tratamento da impiedade no contextos dramatico do eutifron um pastiche das nuvens como extensao da apologia de socrates,alcides hector rodriguez bendit,1.09
Metaphysics,14,"dialogo, retorica, gorgias, platao, socrates",o debate sobre o genio no iluminismo frances o caso diderot,rodrigo brandao,1.09
Metaphysics,14,"dialogo, retorica, gorgias, platao, socrates",a sophrosyne no carmides de platao uma questao cosmologica rio de janeiro,maria das gracas de moraes augusto,1.09
Metaphysics,14,"dialogo, retorica, gorgias, platao, socrates",os eidola do fedro gorgias isocrates e lisias,maria cecilia de miranda nogueira coelho,1.09
Metaphysics,14,"dialogo, retorica, gorgias, platao, socrates",o gorgias retorico e o gorgias de platao,rachel gazolla de andrade,1.09
Metaphysics,14,"dialogo, retorica, gorgias, platao, socrates",qual e o logos da aisthesis no teeteto,luis felipe bellintani ribeiro,1.09
Metaphysics,14,"dialogo, retorica, gorgias, platao, socrates",os conceitos da natureza ideia e experiencia nos sistemas de schelling e humboldt,marcia cristina ferreira goncalves,1.09
Metaphysics,14,"dialogo, retorica, gorgias, platao, socrates",o fedro de platao a luz da triade de estesicoro,lygia araujo watanabe,1.09
Metaphysics,21,"discurso, tomas, aquino, mundo, intelecto",a dessacralizacao da cultura em max stirner,jose crisostomo de souza,0.97
Metaphysics,21,"discurso, tomas, aquino, mundo, intelecto",essencialismo e modernidade a critica de max stirner,jose crisostomo de souza,0.97
Metaphysics,21,"discurso, tomas, aquino, mundo, intelecto",a discussao masala acerca da preeternidade do mundo no tahafut altahafut de averrois,carlos arthur ribeiro do nascimento,0.97
Metaphysics,21,"discurso, tomas, aquino, mundo, intelecto",o elogio do logos em gorgias,eliane christina de souza,0.97
Metaphysics,21,"discurso, tomas, aquino, mundo, intelecto",o despertar do infinito na finitude uma analise da evolucao da nocao de jogo na filosofia de eugen fink,jose fernandes weber,0.97
Metaphysics,21,"discurso, tomas, aquino, mundo, intelecto",sobre a criacao do mundo um estudo baseado em tomas de aquino e alguns dos seus pressupostos gregos,alfredo carlos storck,0.97
Metaphysics,21,"discurso, tomas, aquino, mundo, intelecto",escrita instruida e licenca nos ensaios de montaigne,sergio cardoso,0.97
Metaphysics,21,"discurso, tomas, aquino, mundo, intelecto",as fronteiras do logos convergencias entre o tratado do naoser e o elogio de helena de gorgias de leontini,fabio da silva fortes,0.97
Metaphysics,21,"discurso, tomas, aquino, mundo, intelecto",a questao do intelecto possivel em tomas de aquino o contra os averroistas,jose carlos estevao,0.97
Metaphysics,21,"discurso, tomas, aquino, mundo, intelecto",a realidade enquanto categoria metafisica fundamental uma abordagem sobre a critica de xavier zubiri a concepcao intelectiva da metafisica,manfredo araujo de oliveira,0.97
Metaphysics,46,"guerra, montaigne, mundial, amizade, humanidade",o conceito de revolucao passiva nos cadernos do carcere de antonio gramsci,alex sandro calheiros de moura,0.67
Metaphysics,46,"guerra, montaigne, mundial, amizade, humanidade",inducao e circularidade um exame da resposta fiabilista ao problema de hume,andre joffily abath,0.67
Metaphysics,46,"guerra, montaigne, mundial, amizade, humanidade",guerra e paz no antropoceno uma analise da crise ecologica segundo a obra de bruno latour,deborah danowski,0.67
Metaphysics,46,"guerra, montaigne, mundial, amizade, humanidade",a marca de sexto empirico na filosofia moral de montaigne,rodrigo pinto de brito,0.67
Metaphysics,46,"guerra, montaigne, mundial, amizade, humanidade",o ceticismo de michel de montaigne no ensaio da amizade,edson peixoto de resende filho,0.67
Metaphysics,46,"guerra, montaigne, mundial, amizade, humanidade",tecendo fios de liberdade a partir de quilombismos,susana de castro amaral vieira,0.67
Metaphysics,46,"guerra, montaigne, mundial, amizade, humanidade",friedrich engels guerra e politica uma investigacao sobre a analise marxista da guerra e das organizacoes militares,paulo eduardo arantes,0.67
Metaphysics,46,"guerra, montaigne, mundial, amizade, humanidade",massa e humanizacao de canetti a sloterdijk,jose oscar de almeida marques,0.67
Metaphysics,46,"guerra, montaigne, mundial, amizade, humanidade",necropolitica e epistemicidio as faces ontologicas da morte no contexto do racismo,wanderson flor do nascimento,0.67
Metaphysics,46,"guerra, montaigne, mundial, amizade, humanidade",a condicao mediana montaigne plutarco e o ceticismo academico,jose raimundo maia neto,0.67
Metaphysics,51,"sagrado, mito, forma, poder, religiao",as vindiciae contra tyrannos e os monarcomacos,milton meira do nascimento,0.6
Metaphysics,51,"sagrado, mito, forma, poder, religiao",o equilibrio entre o elemento irracional e racional na ideia de sagrado em rudolf otto,edebrande cavalieri,0.6
Metaphysics,51,"sagrado, mito, forma, poder, religiao",maria zambrano o sagrado e sua transformacao em divino pela filosofia,ulpiano vazquez moro,0.6
Metaphysics,51,"sagrado, mito, forma, poder, religiao",dialetica do sagrado e do profano no humanismo integral de jacques maritain,franklin leopoldo e silva,0.6
Metaphysics,51,"sagrado, mito, forma, poder, religiao",depressao mobilizacao e sofrimento social,paulo eduardo arantes,0.6
Metaphysics,51,"sagrado, mito, forma, poder, religiao",o defensor da paz e seu tempo,renato janine ribeiro,0.6
Metaphysics,51,"sagrado, mito, forma, poder, religiao",aspectos sagrados do mito e logos poesia hesiodica e filosofica de empedocles,rachel gazolla de andrade,0.6
Metaphysics,51,"sagrado, mito, forma, poder, religiao",ernst cassier o mito politico como tecnica do poder no nazismo,mario ariel gonzales porta,0.6
Metaphysics,51,"sagrado, mito, forma, poder, religiao",heraclito da harmonia nao aparente que em natureza ama ocultase,lygia araujo watanabe,0.6
Metaphysics,51,"sagrado, mito, forma, poder, religiao",a diferenca entre mito e religiao em ernest cassier no plano geral da filosofia das formas simbolicas com enfase no confronto entre a consciencia mitica dos povos primitivos e a etica profetica da religiosidade judaicocrista,mario ariel gonzales porta,0.6
Phenomenology and Hermeneutics,71,"heidegger, tempo, sentido, dasein, martin",o cuidado e o carecer uma interpretacao sobre os existenciais de ser e tempo,maria da graca franco ferreira schalcher,3.02
Phenomenology and Hermeneutics,71,"heidegger, tempo, sentido, dasein, martin",traducao comentada do texto que e metafisica de martin heidegger,alexandre guimaraes tadeu de soares,3.02
Phenomenology and Hermeneutics,71,"heidegger, tempo, sentido, dasein, martin",os fundamentos ontologicos do dasein existencia mundo e temporalidade,ricardo correa de araujo,3.02
Phenomenology and Hermeneutics,71,"heidegger, tempo, sentido, dasein, martin",consideracoes a analitica existencial em ser e tempo,ivanhoe albuquerque leal,3.02
Phenomenology and Hermeneutics,71,"heidegger, tempo, sentido, dasein, martin",transcendencia e mundo no projeto da ontologia fundamental demartin heidegger sobre o problema da condicao de possibilidade do comportamento humano,andre de macedo duarte,3.02
Phenomenology and Hermeneutics,71,"heidegger, tempo, sentido, dasein, martin",a singularizacao do serai na obra ser e tempo de heidegger,paulo cesar duque estrada,3.02
Phenomenology and Hermeneutics,71,"heidegger, tempo, sentido, dasein, martin",o impessoal e a tecnica em martin heidegger,oscar federico bauchwitz,3.02
Phenomenology and Hermeneutics,71,"heidegger, tempo, sentido, dasein, martin",de que modo a pergunta o que e o homem se desdobra na perspectiva ontologica de martin heidegger,affonso henrique vieira da costa,3.02
Phenomenology and Hermeneutics,71,"heidegger, tempo, sentido, dasein, martin",a temporalidade da presenca a elaboracao heideggeriana do conceito de tempo,gilvan luiz fogel,3.02
Phenomenology and Hermeneutics,71,"heidegger, tempo, sentido, dasein, martin",o conceito de temporalidade zeitlichkeit na ontologia fundamental de martin heidegger,robson ramos dos reis,3.02
Phenomenology and Hermeneutics,42,"sujeito, outro, subjetividade, alteridade, levinas",trauma paradoxo temporalidade freud e levinas,ricardo timm de souza,1.57
Phenomenology and Hermeneutics,42,"sujeito, outro, subjetividade, alteridade, levinas",o dizer  um ensaio desde e levinas e j derrida sobre a linguagem do outro da palavra e do corpo,ricardo timm de souza,1.57
Phenomenology and Hermeneutics,42,"sujeito, outro, subjetividade, alteridade, levinas",do outro da dialetica do senhor e do escravo de hegel ao grande outro de lacan na constituicao do sujeito,daniel omar perez,1.57
Phenomenology and Hermeneutics,42,"sujeito, outro, subjetividade, alteridade, levinas",a categoria da alteridade uma analise da obra totalidade e infinito de emmanuel levinas,ricardo timm de souza,1.57
Phenomenology and Hermeneutics,42,"sujeito, outro, subjetividade, alteridade, levinas",subjetividade e direitos humanos bases fenomenologicas de uma discussao,marcelo fabri,1.57
Phenomenology and Hermeneutics,42,"sujeito, outro, subjetividade, alteridade, levinas",a aporia do sujeito em lacan,walter jose evangelista,1.57
Phenomenology and Hermeneutics,42,"sujeito, outro, subjetividade, alteridade, levinas",subjetividade irredutivel desejo e os modos de identificacao na metafisica levinasiana,sandro cozza sayao,1.57
Phenomenology and Hermeneutics,42,"sujeito, outro, subjetividade, alteridade, levinas",a viuva o orfao o estrangeiro e o pobre a genealogia do preconceito e a etica como responsabilidade pelo outro a partir de emmanuel levinas,walter valdevino oliveira silva,1.57
Phenomenology and Hermeneutics,42,"sujeito, outro, subjetividade, alteridade, levinas",o sujeito e de sangue e carne a sensibilidade como paradigma etico em emmanuel levinas,pergentino stefano pivatto,1.57
Phenomenology and Hermeneutics,42,"sujeito, outro, subjetividade, alteridade, levinas",o conceito de alteridade em totalidade e infinito,antonio rufino vieira,1.57
Phenomenology and Hermeneutics,77,"consciencia, sartre, mundo, nada, realidade",a ma fe na analitica existencial sartriana,jose antonio saja ramos neves dos santos,1.54
Phenomenology and Hermeneutics,77,"consciencia, sartre, mundo, nada, realidade",a nocao fenomenologica do ego transcendente em jeanpaul sartre,martina korelc,1.54
Phenomenology and Hermeneutics,77,"consciencia, sartre, mundo, nada, realidade",fenomenologia e ontologia da consciencia em jeanpaul sartre,claudinei aparecido de freitas da silva,1.54
Phenomenology and Hermeneutics,77,"consciencia, sartre, mundo, nada, realidade",da ontologia fenomenenologica a pssicanalise biografias existenciais o si como nervura dos conflitos,alexandre de oliveira torres carrasco,1.54
Phenomenology and Hermeneutics,77,"consciencia, sartre, mundo, nada, realidade",fracasso e liberdade em sartre o desejo humano de ser deus,luiz damon santos moutinho,1.54
Phenomenology and Hermeneutics,77,"consciencia, sartre, mundo, nada, realidade",a nostalgia do impossivel realidade humana e falta ontologica em letre et le neant um estudo sobre a ontologiafenomenologica de jeanpaul sartre,salma tannus muchail,1.54
Phenomenology and Hermeneutics,77,"consciencia, sartre, mundo, nada, realidade",consciencia intersubjetividade e a questao moral em jeanpaul sartre,alessandro rodrigues pimenta,1.54
Phenomenology and Hermeneutics,77,"consciencia, sartre, mundo, nada, realidade",a farsa do ego ontologia e historicidade em sartre,abrahao costa andrade,1.54
Phenomenology and Hermeneutics,77,"consciencia, sartre, mundo, nada, realidade",o serparasi e o serparaoutro descricoes para uma fenomenologia do olhar no jovem sartre,marly bulcao lassance britto,1.54
Phenomenology and Hermeneutics,77,"consciencia, sartre, mundo, nada, realidade",consciencia e ego no pensamento do jovem sartre,fabio ferreira de almeida,1.54
Phenomenology and Hermeneutics,29,"experiencia, mundo, merleauponty, percepcao, corpo",merleauponty e o projeto de restituicao da experiencia primordial da natureza,luiz benedicto lacerda orlandi,1.51
Phenomenology and Hermeneutics,29,"experiencia, mundo, merleauponty, percepcao, corpo",a experiencia do tocar e a reversibilidade da carne em merleauponty,iraquitan de oliveira caminha,1.51
Phenomenology and Hermeneutics,29,"experiencia, mundo, merleauponty, percepcao, corpo",o fenomeno expressivo no corpo performatico uma analise fenomenologica,ericson savio falabretti,1.51
Phenomenology and Hermeneutics,29,"experiencia, mundo, merleauponty, percepcao, corpo",merleauponty e a interrogacao ontologica em o visivel e o invisivel,jose de anchieta correa,1.51
Phenomenology and Hermeneutics,29,"experiencia, mundo, merleauponty, percepcao, corpo",gestalt expressao e temporalidade  consideracoes sobre a fenomenologia da percepcao de maurice merleauponty,debora cristina morato pinto,1.51
Phenomenology and Hermeneutics,29,"experiencia, mundo, merleauponty, percepcao, corpo",o campo fenomenal e a cegueira da tradicao as licoes da patologia segundo merleauponty,marcos jose muller,1.51
Phenomenology and Hermeneutics,29,"experiencia, mundo, merleauponty, percepcao, corpo",corpo sensivel e natureza na ultima ontologia de merleau ponty,alexandre de oliveira torres carrasco,1.51
Phenomenology and Hermeneutics,29,"experiencia, mundo, merleauponty, percepcao, corpo",corporeidade e visao em merleauponty o sentido prereflexivono universo artistico e nas relacoes intersubjetivas,ericson savio falabretti,1.51
Phenomenology and Hermeneutics,29,"experiencia, mundo, merleauponty, percepcao, corpo",merleauponty a dimensao ontologica do sensivel,jose de anchieta correa,1.51
Phenomenology and Hermeneutics,29,"experiencia, mundo, merleauponty, percepcao, corpo",a expressao do mundo em merleauponty sob o eixo do prefacio e introducao da fenomenologia da percepcao autor soares brenda cardoso,sonia campaner miguel ferrari,1.51
Phenomenology and Hermeneutics,13,"vida, sentido, existencia, vidahumana, si",o problema do sentido da vida uma discussao critica,rosa maria dias,1.44
Phenomenology and Hermeneutics,13,"vida, sentido, existencia, vidahumana, si",a nocao de circunstancia no raciovitalismo de ortega y gasset,odilio alves aguiar,1.44
Phenomenology and Hermeneutics,13,"vida, sentido, existencia, vidahumana, si",quando estamos doentes o conceito de patologico em georges canguilhem,ricardo valerio fenati,1.44
Phenomenology and Hermeneutics,13,"vida, sentido, existencia, vidahumana, si",alvaro vieira pinto abusos ideologicos da tecnologia em questao,washington luiz martins da silva,1.44
Phenomenology and Hermeneutics,13,"vida, sentido, existencia, vidahumana, si",a morte centralidade e significado em hans jonas,antonio jose romera valverde,1.44
Phenomenology and Hermeneutics,13,"vida, sentido, existencia, vidahumana, si",a reinterpretacao do fenomeno da vida os fundamentos da biologia filosofica de hans jonas,jelson roberto de oliveira,1.44
Phenomenology and Hermeneutics,13,"vida, sentido, existencia, vidahumana, si",a noosfera em teilhard de chardin a historia evolutiva do pensamento,witold skwara,1.44
Phenomenology and Hermeneutics,13,"vida, sentido, existencia, vidahumana, si",meia existencia antimessianismo antifascismo existencialismo ambientes outros na genese do pensamento de hans jonas,edgard jose jorge filho,1.44
Phenomenology and Hermeneutics,13,"vida, sentido, existencia, vidahumana, si",o indivudualismo em ortega y gasset,mauro castelo branco de moura,1.44
Phenomenology and Hermeneutics,13,"vida, sentido, existencia, vidahumana, si",a crise nas relacoes humanas a luz do pensamento de jose ortega y gasset,dulce mara critelli,1.44
Phenomenology and Hermeneutics,28,"objeto, representacao, psicologia, husserl, coisa",brentano e o conceito de objeto intencional uma leitura paradigmatica a partir de twardowski,celso reni braida,1.28
Phenomenology and Hermeneutics,28,"objeto, representacao, psicologia, husserl, coisa",semelhanca e figuracao em linguagens da arte de nelson goodman,andre da silva porto,1.28
Phenomenology and Hermeneutics,28,"objeto, representacao, psicologia, husserl, coisa",intencionalidade e existencia o paradoxo das representacoes sem objeto em twardowski e husserl,alex de campos moura,1.28
